run_id,strategy,migration_time_ms,client_downtime_ms,latency_before_downtime_ms,packet_loss_during_migration_pct,total_packets_successful,total_packets,initial_state_size_bytes,final_state_size_bytes,config_json
state_frequency,precopy,1606.086015701294,1310.410499572754,295.67551612854004,31,294,298,61440000,5120000,"{""general"":{""run_id"":""state_frequency"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":10.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""precopy"",""delay_s"":5.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_frequency,precopy,1836.0283374786377,1166.454792022705,669.5735454559326,18,601,606,121856000,12288000,"{""general"":{""run_id"":""state_frequency"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":20.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""precopy"",""delay_s"":5.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_frequency,precopy,2441.1935806274414,1369.7412014007568,1071.4523792266846,7,1220,1224,243712000,29696000,"{""general"":{""run_id"":""state_frequency"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":40.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""precopy"",""delay_s"":5.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_frequency,precopy,3592.113733291626,1491.9712543487549,2100.142478942871,4,2591,2600,484352000,95232000,"{""general"":{""run_id"":""state_frequency"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":80.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""precopy"",""delay_s"":5.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_frequency,precopy,4553.872585296631,1693.3753490447998,2860.497236251831,1,3254,3260,614400000,139264000,"{""general"":{""run_id"":""state_frequency"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":160.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""precopy"",""delay_s"":5.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_frequency,postcopy,1461.4720344543457,1497.1730709075928,0.0,29,282,287,0,63488000,"{""general"":{""run_id"":""state_frequency"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":10.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""postcopy"",""delay_s"":5.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_frequency,postcopy,1687.6111030578613,1691.9898986816406,0.0,14,565,570,0,126976000,"{""general"":{""run_id"":""state_frequency"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":20.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""postcopy"",""delay_s"":5.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_frequency,postcopy,2287.3260974884033,2286.012649536133,1.3134479522705078,8,1127,1132,0,252928000,"{""general"":{""run_id"":""state_frequency"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":40.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""postcopy"",""delay_s"":5.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_frequency,postcopy,3644.3731784820557,3641.2858963012695,3.087282180786133,2,2271,2275,0,509952000,"{""general"":{""run_id"":""state_frequency"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":80.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""postcopy"",""delay_s"":5.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_frequency,postcopy,4001.9519329071045,4001.689672470093,0.26226043701171875,3,2765,2770,0,652288000,"{""general"":{""run_id"":""state_frequency"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":160.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""postcopy"",""delay_s"":5.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_frequency,precopy,1570.0550079345703,1241.76025390625,328.2947540283203,33,296,301,61440000,5120000,"{""general"":{""run_id"":""state_frequency"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":10.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""precopy"",""delay_s"":5.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_frequency,precopy,2096.224784851074,1378.3316612243652,717.893123626709,20,599,604,121856000,12288000,"{""general"":{""run_id"":""state_frequency"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":20.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""precopy"",""delay_s"":5.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_frequency,precopy,2581.1758041381836,1421.0548400878906,1160.120964050293,7,1229,1233,243712000,31744000,"{""general"":{""run_id"":""state_frequency"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":40.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""precopy"",""delay_s"":5.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_frequency,precopy,3566.5335655212402,1451.6582489013672,2114.875316619873,3,2587,2596,478208000,95232000,"{""general"":{""run_id"":""state_frequency"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":80.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""precopy"",""delay_s"":5.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_frequency,precopy,4832.592010498047,1777.1389484405518,3055.453062057495,1,3321,3332,627712000,148480000,"{""general"":{""run_id"":""state_frequency"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":160.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""precopy"",""delay_s"":5.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_frequency,postcopy,1395.3092098236084,1411.3028049468994,0.0,31,280,285,0,62464000,"{""general"":{""run_id"":""state_frequency"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":10.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""postcopy"",""delay_s"":5.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_frequency,postcopy,1789.3562316894531,1789.6087169647217,0.0,13,562,566,0,126976000,"{""general"":{""run_id"":""state_frequency"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":20.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""postcopy"",""delay_s"":5.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
