run_id,strategy,migration_time_ms,client_downtime_ms,latency_before_downtime_ms,packet_loss_during_migration_pct,total_packets_successful,total_packets,initial_state_size_bytes,final_state_size_bytes,config_json
state_size2,precopy,1760.6706619262695,1194.9937343597412,565.6769275665283,12,588,591,120832000,10240000,"{""general"":{""run_id"":""state_size2"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":20.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""precopy"",""delay_s"":5.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_size2,precopy,2221.7183113098145,1240.4272556304932,981.2910556793213,17,1103,1108,222208000,14336000,"{""general"":{""run_id"":""state_size2"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":20.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""precopy"",""delay_s"":10.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_size2,precopy,3034.1153144836426,1305.6399822235107,1728.4753322601318,12,2141,2151,425984000,21504000,"{""general"":{""run_id"":""state_size2"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":20.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""precopy"",""delay_s"":20.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_size2,precopy,4094.6550369262695,1512.3810768127441,2582.2739601135254,9,3174,3182,631808000,28672000,"{""general"":{""run_id"":""state_size2"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":20.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""precopy"",""delay_s"":30.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_size2,precopy,6009.9945068359375,1614.769458770752,4395.225048065186,11,5263,5283,1041408000,48128000,"{""general"":{""run_id"":""state_size2"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":20.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""precopy"",""delay_s"":50.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_size2,precopy,10681.787490844727,1799.4024753570557,8882.38501548767,10,10452,10487,2060288000,92160000,"{""general"":{""run_id"":""state_size2"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":20.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""precopy"",""delay_s"":100.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_size2,precopy,21681.090354919434,2170.3879833221436,19510.70237159729,8,20940,21010,4105216000,195584000,"{""general"":{""run_id"":""state_size2"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":20.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""precopy"",""delay_s"":200.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_size2,postcopy,1604.125738143921,1618.757724761963,0.0,19,556,561,0,124928000,"{""general"":{""run_id"":""state_size2"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":20.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""postcopy"",""delay_s"":5.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_size2,postcopy,2089.7037982940674,2097.064733505249,0.0,19,1054,1059,0,227328000,"{""general"":{""run_id"":""state_size2"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":20.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""postcopy"",""delay_s"":10.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_size2,postcopy,3217.090606689453,3221.0471630096436,0.0,16,2063,2068,0,434176000,"{""general"":{""run_id"":""state_size2"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":20.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""postcopy"",""delay_s"":20.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_size2,postcopy,3908.71000289917,3926.3272285461426,0.0,13,3067,3072,0,640000000,"{""general"":{""run_id"":""state_size2"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":20.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""postcopy"",""delay_s"":30.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
state_size2,postcopy,5721.297025680542,5727.017402648926,0.0,20,5065,5075,0,1048576000,"{""general"":{""run_id"":""state_size2"",""results_dir"":""results""},""clients"":{""count"":5,""rate_hz"":20.0,""payload_bytes"":1024000,""timeout_ms"":800},""network"":{""latency_ms"":0,""jitter_ms"":0,""loss_pct"":0.0},""migration"":{""strategy"":""postcopy"",""delay_s"":50.0,""postcopy_sync_s"":5.0,""dest_preboot"":true},""servers"":{""service_alias"":""service"",""port"":5000,""image_server"":""migration_test/server:latest"",""image_client"":""migration_test/client:latest"",""network_name"":""bench_net""}}"
